Name;URL
Ciência de Dados aplicada ao Direito - Eventos - Migalhas;https://www.migalhas.com.br/Eventos/18,MI256958,21048-Ciencia%2Bde%2BDados%2Baplicada%2Bao%2BDireito
Ciência de dados: desafio para a ciência, indústria e governo;http://www.comciencia.br/comciencia/handler.php%3Fsection%3D8%26edicao%3D115%26id%3D1381
Como a ciência de dados traz praticidade à segurança da ... - Proof;https://www.proof.com.br/blog/seguranca-da-informacao/como-ciencia-de-dados-traz-praticidade-seguranca-da-informacao/
Como a ciência de dados está melhorando a gestão logística | PROOF;https://www.proof.com.br/blog/business-analytics/como-ciencia-de-dados-esta-melhorando-gestao-logistica/
Oportunidades aumentam para quem estuda ciência de dados - Folha;http://www1.folha.uol.com.br/sobretudo/carreiras/2018/06/1971998-oportunidades-aumentam-para-quem-estuda-ciencia-de-dados.shtml
Museu de Astronomia e Ciências Afins - MAST;http://www.mast.br/
FCT — Contactos;https://www.fct.pt/contactos
Questões Comentadas - Informática para Polícia Federal - Agente ...;https://www.estrategiaconcursos.com.br/blog/questoes-comentadas-informatica-para-policia-federal-agente-banco-de-dados/
Minas Faz Ciência: HOME;http://minasfazciencia.com.br/
Documento TE 1/CPAD/UFFS/2018 Dados do Cadastro 1;https://www.uffs.edu.br/institucional/comissoes/comissao_permanente_de_avaliacao_de_documentos/termos-de-eliminacao/termo-de-eliminacao-de-documentos-no-1-cpad-uffs-2018/%40%40download/file
IFS - Instituto Federal de Educação, Ciência e Tecnologia de ...;http://www.ifs.edu.br/
Portal Regional da BVS;http://bvsalud.org/
Amazon apura denúncia de que seus funcionários vendiam dados ...;https://tecnologia.uol.com.br/noticias/afp/2018/09/17/amazon-apura-denuncia-de-que-seus-funcionarios-vendiam-dados-de-clientes.htm
Portal .periodicos. CAPES;http://www.periodicos.capes.gov.br/
Assista ao vivo o Iº Encontro CAPES de Ciência Aberta;http://www.capes.gov.br/sala-de-imprensa/noticias/9057-assista-ao-vivo-o-i-encontro-capes-de-ciencia-aberta
O tecido conjuntivo da ciência | Unicamp;https://www.unicamp.br/unicamp/ju/artigos/peter-schulz/o-tecido-conjuntivo-da-ciencia
Plataforma Lattes;http://lattes.cnpq.br/
UFPE: Universidade Federal de Pernambuco;https://www.ufpe.br/
Cientistas identificam quatro tipos de personalidade | Ciência ...;http://www.portaldoholanda.com.br/ciencia/cientistas-identificam-quatro-tipos-de-personalidade
Universidade do Minho;https://www.uminho.pt/
ECD - Especialização em Ciência de Dados e Big Data;http://www.ecd.ufba.br/
